Molecule ChEMBL ID,Smiles,pChEMBL Value
CHEMBL1327761,CC(=O)NCCNc1cc(-c2ccccc2CN(C)C)ncn1,
CHEMBL1530352,CCC(C)c1ccc(Nc2ncccc2C#N)cc1,
CHEMBL1429762,Cl.ClCCNc1nc2cc(Cl)ccc2[nH]1,
CHEMBL1594682,O=C(Cn1ccc(=O)[nH]c1=O)Nc1ccc(C(=O)O)c(O)c1,
CHEMBL1510723,CCC(=O)N1CCN(c2ccc(NC(=O)c3cccs3)cc2)CC1,
CHEMBL1709998,Cc1onc(C(=O)/C=C/N(C)C)c1C(=O)Nc1nccs1,
CHEMBL1476663,O=C(O)[C@H]1[C@@H]2C=C[C@H](O2)[C@@H]1C(=O)NCc1ccccn1,
CHEMBL1593661,COc1ccc(-n2c(=O)c(-c3ccc(Cl)cc3)nc3cnc(N4CCNCC4)nc32)cc1,
CHEMBL1462698,O=C(NCC1CCCO1)C1CC(=O)N(C2CCCCCC2)C1,
CHEMBL1410318,CC(=O)Nc1cc(CN2CCCCC2)c(O)c2ncccc12,
CHEMBL1444527,CC(=O)NC(NC(C)=O)c1ccc(Br)cc1,
CHEMBL1509513,COc1ccc(CCC(C)NC2C3CC4CC(C3)CC2C4)cc1,
CHEMBL1741403,CC(C)(N)C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@H]2C(=O)O,
CHEMBL1741396,Cc1cc(C(F)F)n2ncc(C(=O)O)c2n1,
CHEMBL1589897,Cn1cccc1C(=O)N1CCC2(CC1)CN(c1cccc(-c3ccccc3)c1)C2,
CHEMBL1517643,CN(C)c1ncc2nc(-c3cccc(C#N)c3)c(=O)n(C[C@H]3CCCO3)c2n1,
CHEMBL1324521,CN1[C@H]2CC(OC(=O)[C@@H](CO)c3ccccc3)C[C@@H]1[C@@H]1O[C@@H]12,
CHEMBL1466129,COCCNC(=O)COC(=O)c1nsc(Cl)c1Cl,
CHEMBL1483796,O=C1CSC2(CCN(CCCN3c4ccccc4Sc4ccc(Cl)cc43)CC2)N1,
CHEMBL1445795,O=C(/C=C/c1ccc2c(c1)OCO2)NCCSCc1cccc(Cl)c1,
